# Onboard parameters for system MAV 004
#
# MAV ID  COMPONENT ID  PARAM NAME  VALUE (FLOAT)
4	50	AIRD_AUTO_MAG	1	6
4	50	AIRD_BAT_FS	                       10	9
4	50	AIRD_BAT_WARN	                       40	9
4	50	AIRD_BINDED_ID	4	6
4	50	AIRD_CHECK_MAG	0	6
4	50	AIRD_LEASH_MODE	2	6
4	50	AIRD_LOITER_STEP	                        2	9
4	50	AIRD_MIN_MF_ALT	                        3	9
4	50	AIRD_PITCH_DOWN	0	6
4	50	AIRD_TRAINER_ID	10	6
4	50	AIRD_TRAJ_CUT	                      0.2	9
4	50	AIRD_TRAJ_RAD	                        5	9
4	50	ATT_ACC_COMP	2	6
4	50	ATT_MAG_DECL	                   6.0935	9
4	50	A_CALIB_GYRO_ARM	0	6
4	50	A_CALIB_MODE	0	6
4	50	A_CALIB_dTEMP_C	                        3	9
4	50	A_CALIB_dTIME_H	120	6
4	50	A_GOOD_TRG_EPH	                        0	9
4	50	A_GOOD_TRG_EPV	                        0	9
4	50	A_LAND_CORR_ON	1	6
4	50	A_LAND_MAX_V	                        2	9
4	50	A_LAND_MIN_V	                      0.3	9
4	50	A_LAND_SAFE_H	                      0.3	9
4	50	A_MAX_PWM	0	6
4	50	A_REQUIRE_GPS	1	6
4	50	A_TRGT_DLINK_TO	1000	6
4	50	A_TRGT_VSB_TO_1	                        1	9
4	50	A_TRGT_VSB_TO_2	                        5	9
4	50	BAT_CAPACITY	                       -1	9
4	50	BAT_CRIT_LVL	                     0.09	9
4	50	BAT_CRIT_USE	1	6
4	50	BAT_C_SCALING	                   0.0124	9
4	50	BAT_FLAT_LVL	                     0.02	9
4	50	BAT_FLAT_USE	1	6
4	50	BAT_N_CELLS	3	6
4	50	BAT_V_CHARGED	                      4.2	9
4	50	BAT_V_EMPTY	                      3.4	9
4	50	BAT_V_LOAD_DROP	                     0.07	9
4	50	BAT_V_SCALE_IO	10000	6
4	50	BAT_V_SCALING	               0.00459341	9
4	50	BAT_WARN_LVL	                     0.18	9
4	50	CBRK_AIRSPD_CHK	0	6
4	50	CBRK_ENGINEFAIL	284953	6
4	50	CBRK_FLIGHTTERM	121212	6
4	50	CBRK_GPSFAIL	240024	6
4	50	CBRK_IO_SAFETY	0	6
4	50	CBRK_NO_VISION	0	6
4	50	CBRK_RATE_CTRL	0	6
4	50	CBRK_SUPPLY_CHK	0	6
4	50	COM_DL_LOSS_EN	0	6
4	50	COM_DL_LOSS_T	10	6
4	50	COM_DL_REG_T	0	6
4	50	COM_EF_C2T	                        5	9
4	50	COM_EF_THROT	                      0.5	9
4	50	COM_EF_TIME	                       10	9
4	50	COM_RC_LOSS_T	                      0.5	9
4	50	EKF_ATT_V3_Q0	                   0.0001	9
4	50	EKF_ATT_V3_Q1	                     0.08	9
4	50	EKF_ATT_V3_Q2	                    0.009	9
4	50	EKF_ATT_V3_Q3	                    0.005	9
